,1,index,x
0,0,0,0.0346
1,3691,1,0.10387607843137253
2,7592,2,0.17315215686274507
3,8087,3,0.2424282352941176
4,6184,4,0.3117043137254902
5,5763,5,0.3809803921568627
6,5207,6,0.45025647058823526
7,4557,7,0.5195325490196078
8,3681,8,0.5888086274509803
9,2863,9,0.6580847058823528
10,2227,10,0.7273607843137253
11,1918,11,0.7966368627450979
12,1615,12,0.8659129411764704
13,1722,13,0.935189019607843
14,4750,14,1.0044650980392156
15,13377,15,1.073741176470588
16,19655,16,1.1430172549019606
17,19759,17,1.2122933333333332
18,15765,18,1.2815694117647056
19,11774,19,1.3508454901960782
20,7666,20,1.4201215686274506
21,4846,21,1.4893976470588233
22,2787,22,1.558673725490196
23,1787,23,1.6279498039215683
24,1054,24,1.697225882352941
25,651,25,1.7665019607843135
26,504,26,1.835778039215686
27,412,27,1.9050541176470586
28,365,28,1.9743301960784312
29,379,29,2.043606274509804
30,425,30,2.112882352941176
31,419,31,2.182158431372549
32,461,32,2.2514345098039215
33,473,33,2.320710588235294
34,522,34,2.3899866666666667
35,626,35,2.459262745098039
36,694,36,2.5285388235294115
37,1045,37,2.5978149019607844
38,1835,38,2.6670909803921568
39,3727,39,2.736367058823529
40,7121,40,2.8056431372549016
41,12015,41,2.8749192156862744
42,16637,42,2.944195294117647
43,19555,43,3.013471372549019
44,19040,44,3.082747450980392
45,16505,45,3.1520235294117644
46,12119,46,3.221299607843137
47,8021,47,3.2905756862745097
48,4789,48,3.359851764705882
49,2775,49,3.4291278431372545
50,1475,50,3.4984039215686273
51,862,51,3.5676799999999997
52,587,52,3.636956078431372
53,451,53,3.706232156862745
54,394,54,3.7755082352941174
55,287,55,3.84478431372549
56,273,56,3.9140603921568626
57,237,57,3.983336470588235
58,230,58,4.052612549019607
59,205,59,4.12188862745098
60,182,60,4.191164705882352
61,176,61,4.260440784313725
62,165,62,4.329716862745098
63,161,63,4.39899294117647
64,168,64,4.468269019607843
65,157,65,4.537545098039216
66,119,66,4.6068211764705875
67,132,67,4.67609725490196
68,141,68,4.745373333333333
69,109,69,4.814649411764705
70,127,70,4.883925490196078
71,101,71,4.953201568627451
72,97,72,5.022477647058823
73,94,73,5.091753725490196
74,84,74,5.1610298039215685
75,90,75,5.2303058823529405
76,89,76,5.299581960784313
77,78,77,5.368858039215686
78,80,78,5.438134117647058
79,95,79,5.507410196078431
80,85,80,5.576686274509803
81,74,81,5.645962352941176
82,69,82,5.715238431372549
83,67,83,5.784514509803921
84,57,84,5.853790588235293
85,74,85,5.923066666666666
86,62,86,5.992342745098038
87,65,87,6.061618823529411
88,57,88,6.130894901960784
89,68,89,6.200170980392156
90,49,90,6.269447058823529
91,40,91,6.3387231372549016
92,48,92,6.4079992156862735
93,44,93,6.477275294117646
94,32,94,6.546551372549019
95,40,95,6.615827450980391
96,30,96,6.685103529411764
97,44,97,6.754379607843137
98,41,98,6.823655686274509
99,36,99,6.892931764705882
100,25,100,6.9622078431372545
101,38,101,7.0314839215686264
102,34,102,7.100759999999999
103,24,103,7.170036078431372
104,20,104,7.239312156862744
105,36,105,7.308588235294117
106,27,106,7.37786431372549
107,19,107,7.447140392156862
108,23,108,7.516416470588235
109,29,109,7.585692549019607
110,16,110,7.654968627450979
111,20,111,7.724244705882352
112,23,112,7.793520784313725
113,24,113,7.862796862745097
114,22,114,7.93207294117647
115,28,115,8.001349019607842
116,24,116,8.070625098039214
117,16,117,8.139901176470586
118,25,118,8.20917725490196
119,24,119,8.278453333333331
120,33,120,8.347729411764703
121,10,121,8.417005490196077
122,25,122,8.486281568627449
123,25,123,8.555557647058821
124,19,124,8.624833725490195
125,15,125,8.694109803921567
126,15,126,8.763385882352939
127,19,127,8.832661960784312
128,11,128,8.901938039215684
129,11,129,8.971214117647056
130,14,130,9.04049019607843
131,11,131,9.109766274509802
132,16,132,9.179042352941174
133,17,133,9.248318431372548
134,17,134,9.31759450980392
135,15,135,9.386870588235292
136,10,136,9.456146666666665
137,13,137,9.525422745098037
138,11,138,9.59469882352941
139,7,139,9.663974901960783
140,14,140,9.733250980392155
141,14,141,9.802527058823527
142,14,142,9.8718031372549
143,9,143,9.941079215686273
144,7,144,10.010355294117645
145,7,145,10.079631372549018
146,12,146,10.14890745098039
147,12,147,10.218183529411762
148,13,148,10.287459607843136
149,11,149,10.356735686274508
150,14,150,10.42601176470588
151,12,151,10.495287843137254
152,9,152,10.564563921568626
153,9,153,10.633839999999998
154,11,154,10.703116078431371
155,14,155,10.772392156862743
156,12,156,10.841668235294115
157,6,157,10.910944313725489
158,9,158,10.98022039215686
159,4,159,11.049496470588233
160,11,160,11.118772549019605
161,15,161,11.188048627450979
162,13,162,11.25732470588235
163,10,163,11.326600784313722
164,8,164,11.395876862745096
165,11,165,11.465152941176468
166,6,166,11.53442901960784
167,13,167,11.603705098039214
168,5,168,11.672981176470586
169,8,169,11.742257254901958
170,10,170,11.811533333333331
171,12,171,11.880809411764703
172,9,172,11.950085490196075
173,10,173,12.019361568627449
174,9,174,12.088637647058821
175,3,175,12.157913725490193
176,8,176,12.227189803921567
177,6,177,12.296465882352939
178,8,178,12.36574196078431
179,11,179,12.435018039215684
180,8,180,12.504294117647056
181,4,181,12.573570196078428
182,11,182,12.642846274509802
183,9,183,12.712122352941174
184,7,184,12.781398431372546
185,6,185,12.85067450980392
186,7,186,12.919950588235292
187,4,187,12.989226666666664
188,3,188,13.058502745098037
189,6,189,13.12777882352941
190,12,190,13.197054901960781
191,3,191,13.266330980392155
192,6,192,13.335607058823527
193,7,193,13.404883137254899
194,6,194,13.474159215686273
195,7,195,13.543435294117645
196,2,196,13.612711372549017
197,1,197,13.68198745098039
198,7,198,13.751263529411762
199,4,199,13.820539607843134
200,2,200,13.889815686274508
201,10,201,13.95909176470588
202,1,202,14.028367843137252
203,9,203,14.097643921568626
204,3,204,14.166919999999998
205,4,205,14.23619607843137
206,5,206,14.305472156862743
207,6,207,14.374748235294115
208,9,208,14.444024313725487
209,8,209,14.51330039215686
210,1,210,14.582576470588233
211,9,211,14.651852549019605
212,5,212,14.721128627450978
213,8,213,14.79040470588235
214,3,214,14.859680784313722
215,0,215,14.928956862745096
216,7,216,14.998232941176468
217,3,217,15.06750901960784
218,4,218,15.136785098039214
219,5,219,15.206061176470586
220,5,220,15.275337254901958
221,5,221,15.344613333333331
222,4,222,15.413889411764703
223,4,223,15.483165490196075
224,5,224,15.552441568627449
225,9,225,15.621717647058821
226,9,226,15.690993725490193
227,5,227,15.760269803921565
228,7,228,15.829545882352939
229,2,229,15.89882196078431
230,4,230,15.968098039215683
231,4,231,16.037374117647058
232,3,232,16.10665019607843
233,6,233,16.175926274509802
234,1,234,16.245202352941174
235,2,235,16.31447843137255
236,7,236,16.38375450980392
237,5,237,16.453030588235293
238,3,238,16.522306666666665
239,3,239,16.591582745098037
240,10,240,16.66085882352941
241,4,241,16.730134901960785
242,2,242,16.799410980392157
243,4,243,16.86868705882353
244,6,244,16.9379631372549
245,6,245,17.007239215686273
246,1,246,17.076515294117645
247,4,247,17.14579137254902
248,2,248,17.215067450980392
249,1,249,17.284343529411764
250,5,250,17.353619607843136
251,6,251,17.422895686274508
252,4,252,17.49217176470588
253,2,253,17.561447843137255
254,2,254,17.630723921568627
255,383,255,17.7
